"name","price","socket","form_factor","max_memory","memory_slots","color"
"MSI X670E GAMING PLUS WIFI",229.99,"AM5","ATX",192,4,"Silver / Black"
"ASRock B650M-H/M.2+",99.99,"AM5","Micro ATX",96,2,"Silver / Black"
"Asus ROG STRIX Z690-I GAMING WIFI",189.99,"LGA1700","Mini ITX",96,2,"Black / Silver"
"Gigabyte B450M K",80,"AM4","Micro ATX",64,2,"Brown / Silver"
"Gigabyte Z790 AORUS PRO X",349.99,"LGA1700","ATX",192,4,"Silver"
"MSI MAG B550 TOMAHAWK",139.99,"AM4","ATX",128,4,"Black / Silver"
"MSI MEG Z790 GODLIKE MAX",1196.99,"LGA1700","EATX",192,4,"Black"
"Gigabyte B650 AORUS ELITE AX V2",187.79,"AM5","ATX",192,4,"Black / Silver"
"ASRock A520M-HDV",66.98,"AM4","Micro ATX",64,2,"Black / Silver"
"MSI B450 Gaming Plus MAX",74.98,"AM4","ATX",128,4,"Red / Black"
"ASRock B550M-ITX/ac",129.99,"AM4","Mini ITX",64,2,"Silver / Black"
"ASRock B650 Steel Legend WiFi",179.99,"AM5","ATX",192,4,"White / Silver"
"Gigabyte A620I AX",139.99,"AM5","Mini ITX",96,2,"Black / Gray"
"Asus ROG STRIX Z690-E GAMING WIFI",230.99,"LGA1700","ATX",192,4,"Black"
"Asus PRIME X670-P WIFI",209.99,"AM5","ATX",192,4,"Silver / Black"
"MSI PRO B760M-P DDR4",99.99,"LGA1700","Micro ATX",128,4,"Black"
"Asus ROG CROSSHAIR X670E HERO",639.99,"AM5","ATX",192,4,"Black / Silver"
"Asus ROG STRIX Z790-E GAMING WIFI",359.99,"LGA1700","ATX",192,4,"Black"
"MSI MAG B760 TOMAHAWK WIFI",179.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte H410M H V2",72.91,"LGA1200","Micro ATX",64,2,"Gray / Black"
"Asus TUF GAMING Z790-PLUS WIFI",229.99,"LGA1700","ATX",192,4,"Black / Gray"
"ASRock X670E Steel Legend",259.99,"AM5","ATX",192,4,"Black / White"
"Gigabyte B550I AORUS PRO AX",189.99,"AM4","Mini ITX",64,2,"Black / Silver"
"Gigabyte B650M D3HP AX",134.99,"AM5","Micro ATX",192,4,"Black / Gray"
"Gigabyte B760M DS3H AX",139.99,"LGA1700","Micro ATX",192,4,"Black"
"Gigabyte B550M DS3H AC",108.99,"AM4","Micro ATX",128,4,"Black"
"Gigabyte Z790 AORUS ELITE X WIFI7",279.99,"LGA1700","ATX",192,4,"Black"
"Asus PRIME Z790-P WIFI",189.99,"LGA1700","ATX",192,4,"Black / Silver"
"NZXT N7 B650E",249.99,"AM5","ATX",128,4,"Black"
"Asus ProArt X670E-CREATOR WIFI",424.99,"AM5","ATX",192,4,"Black / Copper"
"Gigabyte X670 AORUS ELITE AX (rev. 1.0)",269.99,"AM5","ATX",192,4,"Black"
"ASRock A620M Pro RS WiFi",177.85,"AM5","Micro ATX",192,4,"Silver / Black"
"ASRock B450M PRO4 R2.0",80.15,"AM4","Micro ATX",128,4,"Gray / Black"
"MSI PRO H610M-G WIFI DDR4",99,"LGA1700","Micro ATX",64,2,"Black / Silver"
"ASRock H610M-HVS",69.98,"LGA1700","Micro ATX",64,2,"Gray / Black"
"MSI MPG Z790 EDGE TI MAX WIFI",299.99,"LGA1700","ATX",192,4,"Silver / Black"
"ASRock B650E PG RIPTIDE WIFI",189.99,"AM5","ATX",192,4,"Black / Blue"
"ASRock Z690 Extreme",129.99,"LGA1700","ATX",128,4,"Black / Silver"
"Gigabyte Z790 EAGLE AX",183.94,"LGA1700","ATX",192,4,"Gray / Black"
"Gigabyte B650E AORUS ELITE X AX ICE",249.99,"AM5","ATX",192,4,"Silver / White"
"Gigabyte B550M DS3H",89,"AM4","Micro ATX",128,4,"Black / Gold"
"Asus ROG STRIX B650E-E GAMING WIFI",331.14,"AM5","ATX",192,4,"Black"
"Gigabyte B760 GAMING X AX",169.99,"LGA1700","ATX",192,4,"Black / Gray"
"Gigabyte A520M K V2",78.04,"AM4","Micro ATX",64,2,"Brown / Black"
"Asus ROG STRIX B550-F GAMING",158.99,"AM4","ATX",128,4,"Black"
"ASRock B550 Phantom Gaming 4/ac",89.99,"AM4","ATX",128,4,"Silver / Black"
"MSI PRO B760M-A WIFI DDR4",149.99,"LGA1700","Micro ATX",128,4,"Black"
"Asus TUF GAMING B760M-PLUS WIFI II",194.99,"LGA1700","Micro ATX",192,4,"Black / Orange"
"Gigabyte B760I AORUS PRO",199.99,"LGA1700","Mini ITX",96,2,"Silver / Black"
"ASRock B650M PG RIPTIDE WIFI",169.99,"AM5","Micro ATX",192,4,"Black"
"Asus TUF GAMING B650M-PLUS WIFI",189.99,"AM5","Micro ATX",192,4,"Black"
"Asus ROG STRIX X670E-F GAMING WIFI",349.99,"AM5","ATX",192,4,"Black / Silver"
"Asus ProArt Z790-CREATOR WIFI",439.99,"LGA1700","ATX",192,4,"Black / Copper"
"Asus PRIME B650-PLUS",164.99,"AM5","ATX",192,4,"Black / Silver"
"MSI A520M-A PRO",69.99,"AM4","Micro ATX",64,2,"Black"
"NZXT N7 Z790",296.99,"LGA1700","ATX",192,4,"Black"
"ASRock B550M-HDV",74.98,"AM4","Micro ATX",64,2,"Black"
"ASRock B550M PG RIPTIDE",102.98,"AM4","Micro ATX",128,4,""
"Asus ROG STRIX X670E-I GAMING WIFI",424.99,"AM5","Mini ITX",96,2,"Black / Silver"
"Asus ROG STRIX B760-A GAMING WIFI",209.99,"LGA1700","ATX",192,4,"Silver / Black"
"Gigabyte X670 GAMING X AX V2",209.99,"AM5","ATX",192,4,"Black / Gray"
"Gigabyte A520M DS3H V2",89.2,"AM4","Micro ATX",128,4,"Gray / Brown"
"Asus ROG STRIX Z790-H GAMING WIFI",249.99,"LGA1700","ATX",192,4,"Black"
"MSI Z790 GAMING PLUS WIFI",199.99,"LGA1700","ATX",192,4,"Black"
"ASRock Z690 Pro RS",119.99,"LGA1700","ATX",128,4,"Silver / Black"
"Asus ROG STRIX Z790-F GAMING WIFI II",409.99,"LGA1700","ATX",192,4,"Black"
"MSI MEG X670E GODLIKE",1287.01,"AM5","EATX",192,4,"Black"
"Asus TUF GAMING B550M-PLUS WIFI II",202.34,"AM4","Micro ATX",128,4,"Black / Gray"
"MSI PRO Z790-S WIFI",169.99,"LGA1700","ATX",192,4,"Black"
"Asus ROG STRIX X670E-A GAMING WIFI",334.99,"AM5","ATX",192,4,"Silver / Black"
"ASRock H370M-HDV",74.95,"LGA1151-2","Micro ATX",64,2,"Black / Silver"
"ASRock B550 Phantom Gaming-ITX/ax",159.99,"AM4","Mini ITX",64,2,"Silver / Black"
"Asus PRIME B660M-A WIFI D4",171.27,"LGA1700","Micro ATX",128,4,"Silver / Black"
"MSI MAG B760M MORTAR WIFI II",179.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"Asus ROG STRIX Z790-A GAMING WIFI D4",219.99,"LGA1700","ATX",128,4,"Black / Silver"
"MSI MAG B650M MORTAR WIFI",199.95,"AM5","Micro ATX",192,4,"Black"
"MSI MPG Z790I EDGE WIFI",297.83,"LGA1700","Mini ITX",96,2,"Silver / Black"
"MSI PRO B550-VC",139.99,"AM4","ATX",128,4,"Black"
"Gigabyte Z790 AORUS ELITE AX ICE",259.99,"LGA1700","ATX",192,4,"Silver / White"
"Asus PRIME B550-PLUS",109.99,"AM4","ATX",128,4,"Black / White"
"ASRock B760M Pro RS/D4 WiFi",148.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"ASRock X670E PG Lightning",238.76,"AM5","ATX",192,4,"Black"
"Gigabyte A520M S2H",80.48,"AM4","Micro ATX",64,2,"Black"
"ASRock B550 Phantom Gaming 4",89.99,"AM4","ATX",128,4,"Silver / Black"
"MSI MAG Z790 TOMAHAWK MAX WIFI",269.99,"LGA1700","ATX",192,4,"Black / Yellow"
"MSI PRO-H610M-E-DDR4",91.11,"LGA1700","Micro ATX",64,2,"Black"
"Gigabyte H510M K V2",84.73,"LGA1200","Micro ATX",64,2,"Black / Gray"
"Asus PRIME Z790-A WIFI",249,"LGA1700","ATX",192,4,"Black / Silver"
"Asus PRIME A320M-K",68.98,"AM4","Micro ATX",32,2,"Black / White"
"MSI MPG X670E CARBON WIFI",409.99,"AM5","ATX",192,4,"Black"
"Asus ROG MAXIMUS Z790 HERO",529.99,"LGA1700","ATX",192,4,"Black"
"ASRock B450M Steel Legend",89.99,"AM4","Micro ATX",64,4,"Black / White"
"Gigabyte Z790 AORUS ELITE X AX",229.99,"LGA1700","ATX",192,4,"Black"
"MSI MPG B650 EDGE WIFI",227.99,"AM5","ATX",192,4,"Black / Silver"
"Asus PRIME X670E-PRO WIFI",299.76,"AM5","ATX",192,4,"Silver / Black"
"ASRock B650 LiveMixer",138.99,"AM5","ATX",192,4,"Orange / Black"
"MSI PRO Z790-P WIFI DDR4",201.19,"LGA1700","ATX",128,4,"Black / Silver"
"Asus PRIME B650M-A WIFI II",226.56,"AM5","Micro ATX",192,4,"Black / Silver"
"Asus PRIME B550-PLUS AC-HES",109.99,"AM4","ATX",128,4,"Silver / Black"
"MSI PRO Z790-A WIFI",219.99,"LGA1700","ATX",192,4,"Black / Silver"
"Asus PRIME H510M-A WIFI",109.99,"LGA1200","Micro ATX",64,2,"Black / Silver"
"ASRock B760M PG SONIC WiFi",189.99,"LGA1700","Micro ATX",192,4,"Blue / Silver"
"Asus TUF GAMING A620M-PLUS WIFI",148.99,"AM5","Micro ATX",192,4,"Black / Orange"
"ASRock B650 PRO RS",244.21,"AM5","ATX",192,4,"Black / Silver"
"Gigabyte H610M S2H V2 DDR4",89.99,"LGA1700","Micro ATX",64,2,"Black / Gray"
"Asus ROG STRIX Z790-I GAMING WIFI",439.99,"LGA1700","Mini ITX",96,2,"Black"
"MSI MAG B760 TOMAHAWK WIFI DDR4",179.99,"LGA1700","ATX",128,4,"Black"
"ASRock Fatal1ty B450 Gaming-ITX/ac",146.86,"AM4","Mini ITX",64,2,"Black / Silver"
"Asus ROG STRIX Z790-F GAMING WIFI",269.99,"LGA1700","ATX",192,4,"Black"
"ASRock Z790 Lightning WiFi",159.99,"LGA1700","ATX",192,4,"Silver / Black"
"Gigabyte X670E AORUS XTREME (rev. 1.0)",649.99,"AM5","EATX",192,4,"Black"
"ASRock B550M Steel Legend",115.98,"AM4","Micro ATX",128,4,"Silver / Black"
"Asus PRIME Z790-V WIFI",219.99,"LGA1700","ATX",192,4,"Black / Silver"
"Gigabyte Z790M AORUS ELITE AX ICE",204.99,"LGA1700","Micro ATX",192,4,"White / Silver"
"MSI B450M-A PRO MAX",92.21,"AM4","Micro ATX",32,2,"Black"
"Gigabyte Z790 UD AC",189.99,"LGA1700","ATX",192,4,"Black"
"Asus ROG MAXIMUS Z790 APEX ENCORE",869.47,"LGA1700","ATX",96,2,"Black"
"ASRock B650 PG LIGHTNING",149.99,"AM5","ATX",192,4,"Black"
"ASRock X670E Taichi",409.99,"AM5","EATX",192,4,"Black"
"Gigabyte B760 AORUS ELITE AX",169.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte B450M DS3H",124.94,"AM4","Micro ATX",128,4,"Black / Silver"
"Gigabyte B550M AORUS ELITE",132.27,"AM4","Micro ATX",128,4,"Black / Orange"
"Gigabyte X670E AORUS MASTER (rev. 1.0)",391.71,"AM5","EATX",192,4,"Black / Silver"
"ASRock B650E Taichi Lite",259.99,"AM5","EATX",192,4,"Black / Gray"
"ASRock Z790 Riptide WiFi",199.99,"LGA1700","ATX",192,4,"Black"
"Asus TUF GAMING B760-PLUS WIFI",179.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte Z790 GAMING X AX",199.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte B650M GAMING X AX",214.86,"AM5","Micro ATX",192,4,"Black"
"ASRock B760M-HDV/M.2 D4",89.99,"LGA1700","Micro ATX",64,2,"Silver / Black"
"Asus PRIME Z390-P",199.94,"LGA1151-2","ATX",128,4,"Silver / Black"
"MSI MPG Z790 CARBON WIFI II",399.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte A620M S2H",89.99,"AM5","Micro ATX",96,2,"Gray / Black"
"ASRock B660M-HDV",94.99,"LGA1700","Micro ATX",64,2,"Gray / Black"
"MSI MPG B760I EDGE WIFI",206.61,"LGA1700","Mini ITX",96,2,"Black / Silver"
"Asus ROG STRIX Z690-A GAMING WIFI D4",397.86,"LGA1700","ATX",128,4,"Silver / Black"
"Asus PRIME B760M-A",145.54,"LGA1700","Micro ATX",128,4,"Silver / Black"
"MSI MEG X670E ACE",679.99,"AM5","EATX",192,4,"Black / Gold"
"ASRock X670E Taichi Carrara",429.99,"AM5","EATX",192,4,"Black / White"
"MSI MEG Z790 ACE MAX",699.99,"LGA1700","EATX",192,4,"Black"
"MSI PRO Z690-A WIFI DDR4",189.99,"LGA1700","ATX",128,4,"Black / Silver"
"MSI Z390-A PRO",246.18,"LGA1151-2","ATX",128,4,"Brown / Black"
"Gigabyte B650M DS3H",193.53,"AM5","Micro ATX",192,4,"Brown / Black"
"Gigabyte B650M K",119.99,"AM5","Micro ATX",192,4,"Brown / Silver"
"ASRock H310CM-DVS",62.8,"LGA1151-2","Micro ATX",32,2,"Black"
"Asus PRIME B450M-K II",91.17,"AM4","Micro ATX",64,2,"Black"
"Asus TUF GAMING Z790-PLUS WIFI D4",199.99,"LGA1700","ATX",128,4,"Black"
"Gigabyte B550 AORUS ELITE V2",173.32,"AM4","ATX",128,4,"Black"
"Asus ROG Crosshair VIII Dark Hero",579.99,"AM4","ATX",128,4,"Black / Silver"
"Asus PRIME Z390-A",284,"LGA1151-2","ATX",128,4,"Silver / Black"
"ASRock Z790 Pro RS",169.99,"LGA1700","ATX",192,4,"Silver / Black"
"MSI PRO B760-VC WIFI IV",159.99,"LGA1700","ATX",256,4,"Black / Silver"
"MSI PRO Z790-VC WIFI",159.99,"LGA1700","ATX",192,4,"Black"
"Asus PRIME A520M-A II/CSM",79.99,"AM4","Micro ATX",128,4,"Silver / Black"
"MSI MPG B650 CARBON WIFI",458.47,"AM5","ATX",192,4,"Black"
"ASRock B450M/AC",82.38,"AM4","Micro ATX",64,4,"Black"
"ASRock A520M-ITX/ac",119.17,"AM4","Mini ITX",64,2,"Black / Silver"
"MSI Z790 GAMING PRO WIFI",189.99,"LGA1700","ATX",192,4,"Black"
"Gigabyte B650 UD AC",169.99,"AM5","ATX",192,4,"Black / Gray"
"Asus PRIME B760M-A WIFI D4",188.54,"LGA1700","Micro ATX",128,4,"Silver / Black"
"Gigabyte Z390 AORUS PRO WIFI",298,"LGA1151-2","ATX",128,4,"Black / Silver"
"ASRock B550 Pro4",119.67,"AM4","ATX",128,4,"Silver / Black"
"Gigabyte H610I",119.99,"LGA1700","Mini ITX",64,2,"Black"
"MSI MAG B660 TOMAHAWK WIFI DDR4",235.49,"LGA1700","ATX",128,4,"Black / Silver"
"MSI MPG Z790 EDGE WIFI",291.94,"LGA1700","ATX",192,4,"Silver / Black"
"Asus PRIME H610I-PLUS D4-CSM",112.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"ASRock B760M Steel Legend WiFi",159.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"Asus PRIME B660-PLUS D4",149.02,"LGA1700","ATX",128,4,"Silver / Black"
"MSI MAG B550M MORTAR MAX WIFI",149.99,"AM4","Micro ATX",128,4,"Silver / Black"
"Asus ROG STRIX X570-E GAMING WIFI II",459,"AM4","ATX",128,4,"Black"
"Asus TUF GAMING B550-PLUS",157,"AM4","ATX",128,4,"Black"
"ASRock B650E PG-ITX WIFI",289.99,"AM5","Mini ITX",96,2,"Black / Red"
"Asus TUF GAMING B650-PLUS",260.54,"AM5","ATX",128,4,"Black / Orange"
"Asus PRIME X670-P",221.02,"AM5","ATX",192,4,"Silver / Black"
"MSI PRO B550M-P GEN3",103.6,"AM4","Micro ATX",128,4,"Black"
"ASRock B760M PG Riptide",129.99,"LGA1700","Micro ATX",192,4,"Black / Blue"
"Gigabyte B760M AORUS ELITE AX",174.99,"LGA1700","Micro ATX",192,4,"Black / Silver"
"Asus PRIME H510M-K",129.06,"LGA1200","Micro ATX",64,2,"Black / Silver"
"ASRock Z690 PG Riptide",124.99,"LGA1700","ATX",128,4,"Black / Silver"
"MSI Z490-A PRO",329,"LGA1200","ATX",128,4,"Black / Silver"
"MSI PRO B760M-A WIFI",169.99,"LGA1700","Micro ATX",192,4,"Black"
"Asus PRIME H610M-K D4",107.39,"LGA1700","Micro ATX",64,2,"Silver / Black"
"Gigabyte B450M DS3H V2",102.84,"AM4","Micro ATX",128,4,"Black"
"MSI MEG Z690 ACE",223.99,"LGA1700","EATX",192,4,"Black / Gold"
"ASRock B450 Steel Legend",99.99,"AM4","ATX",64,4,"Black / Silver"
"ASRock B560M-HDV",129.99,"LGA1200","Micro ATX",64,2,"Silver / Black"
"Asus ROG STRIX Z590-E GAMING WIFI",349.63,"LGA1200","ATX",128,4,"Black"
"MSI MPG Z790 CARBON WIFI",439.56,"LGA1700","ATX",192,4,"Black"
"Gigabyte B760M C",139.99,"LGA1700","Micro ATX",192,4,"Brown / Gray"
"ASRock A520M-HVS",81.23,"AM4","Micro ATX",64,2,"Black / Silver"
"Gigabyte Z790 AORUS MASTER",439.99,"LGA1700","EATX",192,4,"Black / Silver"
"Gigabyte B450 AORUS ELITE V2",126.81,"AM4","ATX",128,4,"Black"
"Asus ROG CROSSHAIR X670E GENE",658.73,"AM5","Micro ATX",96,2,"Black / Silver"
"Gigabyte Z790 AORUS XTREME X",1611.9,"LGA1700","EATX",192,4,"Black"
"ASRock Z790 Taichi Lite",341.99,"LGA1700","EATX",192,4,"Black / Gray"
"Asus TUF GAMING B650M-E WIFI",227.53,"AM5","Micro ATX",192,4,"Black"
"Asus TUF GAMING Z690-PLUS WIFI",219.99,"LGA1700","ATX",192,4,"Black / Gray"
"ASRock Z690 Phantom Gaming 4/D5",129.99,"LGA1700","ATX",192,4,"Black / Silver"
"Asus PRIME Z490-P",199.99,"LGA1200","ATX",128,4,"Black / Silver"
"ASRock B650E STEEL LEGEND WIFI",199.99,"AM5","ATX",192,4,"Black / Silver"
"ASRock B760 Pro RS/D4",149.5,"LGA1700","ATX",128,4,"Silver / Black"
"MSI PRO B760M-P",141.53,"LGA1700","Micro ATX",192,4,"Black"
"MSI MEG Z690 UNIFY",199.99,"LGA1700","ATX",192,4,"Black / Silver"
"Asus PRIME A520M-K",97.85,"AM4","Micro ATX",64,2,"Black / Silver"
"MSI PRO X670-P WIFI",349.99,"AM5","ATX",192,4,"Black / White"
"Asus ROG STRIX B760-F GAMING WIFI",247.94,"LGA1700","ATX",192,4,"Black"
"Asus PRIME Z790M-PLUS",196.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"ASRock Z690M Phantom Gaming 4",99.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"ASRock H610M-HDV/M.2+ D5",98.4,"LGA1700","Micro ATX",96,2,"White / Black"
"ASRock B760M-ITX/D4 WiFi",148.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"MSI MAG B560M MORTAR WIFI",240.28,"LGA1200","Micro ATX",128,4,"Black / White"
"MSI MPG X570 GAMING EDGE WIFI",299,"AM4","ATX",128,4,"Black / Silver"
"Asus TUF GAMING X670E-PLUS",353.13,"AM5","ATX",192,4,"Black / Orange"
"Asus TUF GAMING B660-PLUS WIFI D4",215.81,"LGA1700","ATX",128,4,"Yellow / Black"
"MSI MAG Z790 TOMAHAWK WIFI DDR4",265.75,"LGA1700","ATX",128,4,"Black"
"Asus PRIME B550M-K",114.97,"AM4","Micro ATX",128,4,"Black / White"
"ASRock X570 Phantom Gaming-ITX/TB3",299,"AM4","Mini ITX",64,2,"Black / Silver"
"MSI MPG Z690 EDGE WIFI DDR4",369,"LGA1700","ATX",128,4,"Black / Gray"
"Asus PROART B650-CREATOR",229.99,"AM5","ATX",192,4,"Black / Copper"
"Gigabyte B450 I AORUS PRO WIFI",195.03,"AM4","Mini ITX",64,2,"Black / Silver"
"MSI PRO Z790-A WIFI DDR4",194.99,"LGA1700","ATX",128,4,"Black / Silver"
"ASRock B760 Pro RS",149.99,"LGA1700","ATX",192,4,"Silver / Black"
"ASRock X670E Pro RS",219.99,"AM5","ATX",192,4,"Black"
"Gigabyte B760I AORUS PRO DDR4",189.99,"LGA1700","Mini ITX",64,2,"Black / Gray"
"Asus PRIME B450M-A",207.5,"AM4","Micro ATX",64,4,"Black"
"Gigabyte A620M GAMING X",119.99,"AM5","Micro ATX",192,4,"Brown / Gray"
"Asus PRIME B450-PLUS",130.96,"AM4","ATX",64,4,"Black / Silver"
"Gigabyte B760M D3H",144.99,"LGA1700","Micro ATX",192,4,"Black / Gray"
"Gigabyte Z790 AORUS MASTER X",499.99,"LGA1700","EATX",192,4,"Black"
"ASRock X570 Phantom Gaming 4S",3939.77,"AM4","ATX",128,4,"Black"
